customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
7900-DW50,Female,0,Yes,No,3,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,48.38,145.14,Yes
5612-DW61,Male,0,No,Yes,71,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,No,Two year,No,Electronic check,114.83,8152.93,No
4600-BZ71,Female,0,Yes,No,12,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Electronic check,79.66,955.92,Yes
8347-AY29,Female,1,Yes,No,9,Yes,Yes,DSL,No,No,No,Yes,No,Yes,Two year,Yes,Mailed check,98.87,889.83,Yes
2382-AX25,Male,1,No,No,50,Yes,No,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,81.01,4050.5,Yes
9198-BZ52,Male,0,Yes,Yes,59,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,No,Bank transfer (automatic),98.22,5794.98,No
9487-AX12,Male,0,Yes,Yes,12,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Electronic check,89.49,1073.88,Yes
9455-BZ84,Male,1,No,No,11,Yes,Yes,DSL,No,No,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),109.5,1204.5,No
9124-EW35,Male,0,No,No,7,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,19.18,134.26,No
6460-AW75,Male,0,No,Yes,61,Yes,No,DSL,No,No,No,No,No,No,Two year,No,Mailed check,60.6,3696.6,No
9310-DZ36,Male,1,No,No,2,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Two year,No,Electronic check,94.62,189.24,Yes
6514-BY56,Male,1,No,Yes,65,Yes,Yes,DSL,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),102.83,6683.95,Yes
5251-AX29,Female,0,Yes,No,49,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),30.53,1495.97,No
3803-AW54,Female,0,Yes,No,2,Yes,No,DSL,Yes,Yes,No,Yes,No,Yes,Month-to-month,No,Credit card (automatic),97.6,195.2,Yes
5540-CX65,Male,0,Yes,No,11,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Two year,No,Electronic check,119.01,1309.11,Yes
4651-EX40,Female,0,Yes,No,11,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,No,Electronic check,99.0,1089.0,No
9240-EY19,Female,0,Yes,No,46,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),130.85,6019.1,No
4464-DZ22,Female,0,No,No,51,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,Two year,No,Bank transfer (automatic),97.94,4994.94,No
1529-DZ96,Female,0,No,No,59,Yes,Yes,DSL,No,Yes,Yes,No,No,Yes,One year,Yes,Credit card (automatic),98.55,5814.45,No
8940-CX47,Male,0,No,No,6,Yes,No,DSL,No,No,No,Yes,No,Yes,Two year,Yes,Electronic check,79.5,477.0,No
2561-EX68,Female,0,Yes,No,4,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),45.63,182.52,No
3611-AW26,Male,0,No,Yes,7,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,42.23,295.61,No
4178-CZ11,Female,1,No,Yes,8,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,One year,Yes,Mailed check,125.79,1006.32,No
9127-AW28,Female,0,No,No,7,Yes,Yes,DSL,Yes,Yes,No,No,No,Yes,Two year,No,Electronic check,104.8,733.6,No
7309-AY13,Female,0,Yes,No,10,Yes,No,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),82.99,829.9,Yes
7146-BX19,Male,0,No,No,2,Yes,No,DSL,No,Yes,No,No,No,Yes,One year,Yes,Bank transfer (automatic),86.48,172.96,Yes
9560-CZ10,Female,0,Yes,Yes,7,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,30.99,216.93,Yes
7867-DW83,Male,0,Yes,No,59,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,Yes,Month-to-month,No,Electronic check,125.15,7383.85,No
3368-CZ86,Female,0,Yes,No,42,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,Two year,No,Mailed check,112.82,4738.44,No
1014-AX73,Male,0,No,No,54,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,28.24,1524.96,No
3277-CW29,Female,0,No,No,45,Yes,No,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,96.39,4337.55,Yes
2763-BX63,Male,0,Yes,No,43,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,90.11,3874.73,Yes
8865-EW67,Male,0,Yes,No,6,Yes,No,DSL,Yes,No,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),98.5,591.0,No
3754-AX28,Female,1,Yes,No,23,No,No phone service,Fiber optic,Yes,No,No,No,Yes,No,Two year,Yes,Mailed check,89.22,2052.06,No
9067-DW90,Male,0,Yes,Yes,24,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Electronic check,86.18,2068.32,Yes
7222-AW23,Female,0,Yes,No,35,Yes,No,DSL,Yes,Yes,No,No,Yes,No,Two year,No,Credit card (automatic),90.13,3154.55,No
3563-DX55,Female,0,Yes,No,6,Yes,Yes,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,107.28,643.68,Yes
6809-DZ61,Female,0,No,No,56,Yes,Yes,DSL,Yes,Yes,Yes,No,No,No,One year,Yes,Bank transfer (automatic),99.76,5586.56,No
3400-DX95,Female,0,Yes,Yes,3,Yes,No,DSL,No,Yes,No,No,Yes,Yes,One year,No,Mailed check,92.76,278.28,No
6530-CX64,Female,0,Yes,No,6,No,No phone service,Fiber optic,No,No,No,Yes,Yes,No,Two year,Yes,Credit card (automatic),86.62,519.72,No
4497-AY76,Female,1,Yes,No,50,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Two year,No,Mailed check,102.9,5145.0,No
4394-DX19,Female,0,No,Yes,63,No,No phone service,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),80.74,5086.62,No
3597-DW21,Female,0,No,No,8,Yes,Yes,DSL,No,No,No,Yes,No,No,One year,Yes,Electronic check,83.46,667.68,Yes
8981-AX81,Female,0,No,No,51,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),99.09,5053.59,No
7649-EW52,Female,1,Yes,No,17,Yes,No,DSL,No,No,No,Yes,Yes,No,Month-to-month,No,Mailed check,79.87,1357.79,Yes
1973-BY44,Female,0,No,No,50,Yes,No,Fiber optic,Yes,Yes,No,No,No,Yes,One year,No,Mailed check,104.31,5215.5,No
2188-DZ67,Male,0,Yes,Yes,60,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,No,Electronic check,129.63,7777.8,No
6684-DX94,Male,0,No,No,58,Yes,No,DSL,No,No,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),79.19,4593.02,No
6468-DW88,Female,0,No,Yes,58,Yes,No,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),107.17,6215.86,No
1438-EY45,Female,0,No,No,23,Yes,No,Fiber optic,No,No,No,No,No,No,One year,Yes,Electronic check,81.77,1880.71,Yes
8835-BY14,Female,1,No,No,54,Yes,Yes,DSL,No,Yes,Yes,Yes,No,No,One year,No,Electronic check,101.64,5488.56,No
4845-EX56,Female,0,No,No,9,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,70.28,632.52,Yes
9219-AW34,Female,0,Yes,Yes,71,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,30.68,2178.28,No
7662-BZ67,Female,0,No,No,69,Yes,Yes,DSL,No,No,Yes,No,No,No,Month-to-month,No,Electronic check,83.45,5758.05,No
7401-AX83,Female,0,Yes,No,14,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),32.01,448.14,Yes
3061-CY94,Female,0,No,No,10,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,Yes,One year,Yes,Bank transfer (automatic),118.56,1185.6,Yes
7283-CY66,Male,0,Yes,No,71,Yes,Yes,DSL,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),116.85,8296.35,No
4559-DZ57,Female,0,Yes,No,50,Yes,Yes,DSL,No,No,No,Yes,No,Yes,Month-to-month,Yes,Mailed check,100.37,5018.5,No
4883-DX11,Male,0,Yes,No,11,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),108.47,1193.17,No
4014-AW91,Female,0,Yes,No,17,No,No phone service,Fiber optic,No,Yes,Yes,Yes,Yes,No,Month-to-month,No,Mailed check,99.48,1691.16,Yes
7472-AZ42,Female,0,No,Yes,4,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,108.88,435.52,Yes
9324-BW20,Male,0,No,Yes,2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,29.87,59.74,No
8574-EY88,Female,0,Yes,No,54,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,46.78,2526.12,No
1311-BY89,Male,0,Yes,No,70,No,No phone service,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),61.43,4300.1,No
1401-CW32,Female,0,No,No,6,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,34.68,208.08,No
4238-EZ91,Female,1,Yes,No,6,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),33.48,200.88,Yes
4282-DW78,Male,1,No,Yes,64,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),20.9,1337.6,No
1765-DX30,Female,0,No,No,67,No,No phone service,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,90.02,6031.34,No
3838-EY25,Male,0,No,Yes,2,No,No phone service,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,121.93,243.86,No
3749-AY74,Female,0,No,Yes,41,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,One year,Yes,Mailed check,110.2,4518.2,No
8812-BW53,Male,0,Yes,No,26,Yes,Yes,DSL,No,No,Yes,No,No,Yes,Month-to-month,No,Electronic check,99.41,2584.66,Yes
9417-DY63,Male,0,No,Yes,2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),25.8,51.6,Yes
6848-AW51,Female,0,Yes,No,6,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),72.5,435.0,Yes
6549-AY44,Female,0,Yes,Yes,49,Yes,Yes,DSL,No,No,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,96.06,4706.94,No
7984-AZ32,Male,0,No,No,52,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),44.33,2305.16,No
2468-EW24,Female,0,Yes,No,60,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,Two year,No,Electronic check,89.76,5385.6,No
5536-DY23,Female,0,No,Yes,60,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,44.78,2686.8,No
6939-DY45,Female,0,No,No,7,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,No,Mailed check,98.47,689.29,Yes
4226-AX50,Male,0,No,No,5,Yes,No,DSL,No,Yes,No,No,Yes,No,Two year,Yes,Electronic check,84.66,423.3,Yes
3819-CY50,Male,0,No,No,5,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,142.81,714.05,Yes
3105-DY85,Male,0,Yes,Yes,62,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,98.22,6089.64,No
4147-EX93,Male,0,Yes,No,66,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,109.07,7198.62,No
4651-BY32,Male,0,No,No,15,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,25.57,383.55,No
3949-BW31,Male,0,Yes,No,67,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,18.04,1208.68,No
7116-DY84,Male,0,No,No,58,Yes,Yes,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,111.45,6464.1,No
8912-CY18,Male,0,No,No,53,Yes,Yes,DSL,No,Yes,Yes,No,No,No,One year,No,Electronic check,91.02,4824.06,No
5856-BZ52,Male,0,No,No,22,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),28.46,626.12,No
1226-AY26,Female,0,Yes,No,50,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,Yes,Two year,Yes,Credit card (automatic),126.14,6307.0,No
5801-EY37,Male,1,Yes,No,12,Yes,No,DSL,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,86.38,1036.56,Yes
2410-EX61,Female,0,Yes,No,50,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,25.27,1263.5,No
2337-EX86,Female,0,Yes,No,2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),29.08,58.16,Yes
3097-DW40,Female,0,No,No,57,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,115.86,6604.02,Yes
3374-BY13,Male,0,Yes,No,2,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),112.28,224.56,Yes
4680-CZ92,Male,0,Yes,Yes,57,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,104.78,5972.46,No
3696-CZ65,Male,1,Yes,No,4,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Two year,No,Electronic check,119.86,479.44,No
2305-DZ86,Male,0,No,No,17,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,45.58,774.86,Yes
6845-DZ97,Female,0,No,No,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,29.95,1557.4,No
9505-AW72,Male,0,Yes,No,5,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,One year,No,Credit card (automatic),111.79,558.95,Yes
5342-BY16,Male,0,Yes,No,59,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,23.17,1367.03,No
9115-BX11,Male,0,Yes,No,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),26.93,134.65,No
9352-DZ85,Male,0,Yes,Yes,11,Yes,Yes,DSL,No,Yes,No,Yes,Yes,No,Month-to-month,No,Electronic check,100.67,1107.37,Yes
4892-BW50,Male,0,No,No,5,Yes,No,DSL,Yes,No,No,No,No,Yes,Two year,Yes,Credit card (automatic),80.43,402.15,Yes
4395-EZ94,Female,1,No,No,8,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,20.73,165.84,Yes
9150-EZ64,Male,0,Yes,No,49,Yes,Yes,DSL,No,Yes,Yes,No,No,Yes,Two year,No,Electronic check,106.72,5229.28,No
9696-EZ31,Female,0,Yes,No,53,Yes,No,DSL,No,No,Yes,Yes,No,Yes,Month-to-month,No,Mailed check,84.9,4499.7,No
9892-EX59,Male,0,No,No,55,Yes,No,DSL,Yes,No,Yes,No,No,No,One year,Yes,Electronic check,73.54,4044.7,No
4005-BY19,Female,0,Yes,No,53,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,No,Credit card (automatic),116.07,6151.71,No
1010-CZ13,Male,0,No,Yes,3,Yes,Yes,DSL,Yes,No,No,No,Yes,No,Two year,Yes,Mailed check,94.43,283.29,Yes
8334-AY54,Male,0,Yes,Yes,31,Yes,No,DSL,No,Yes,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),76.66,2376.46,Yes
7860-BY51,Female,0,No,Yes,65,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,31.29,2033.85,No
1284-CZ69,Female,0,Yes,No,9,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),109.35,984.15,Yes
3435-DZ50,Female,0,No,No,10,Yes,Yes,Fiber optic,No,No,No,No,No,No,Two year,Yes,Bank transfer (automatic),93.58,935.8,Yes
2029-BZ66,Male,0,No,No,51,Yes,Yes,DSL,Yes,Yes,No,Yes,No,Yes,Two year,No,Bank transfer (automatic),112.41,5732.91,No
9091-DY85,Female,0,Yes,No,6,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,112.65,675.9,Yes
1553-DZ98,Male,1,Yes,No,56,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),115.83,6486.48,No
5159-BY38,Male,0,Yes,No,39,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Two year,No,Credit card (automatic),116.5,4543.5,No
6394-AZ54,Female,0,Yes,No,5,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,Two year,Yes,Credit card (automatic),96.01,480.05,No
6313-EX74,Female,1,Yes,No,9,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),105.65,950.85,No
1838-BY85,Male,0,Yes,No,11,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,34.3,377.3,No
4503-AZ74,Male,1,No,No,10,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,119.97,1199.7,Yes
